Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:42, 11660dda-73c3-4121-99fa-a16705e0967c, /api/v1/clinics, GET, null, 462ms, CPU Load: 0.00%, Memory Load: 3.281727GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:43, 8473fbc9-de02-4b34-bb3a-c9668b09fc3a, /api/v1/auth/signup, POST, null, 477ms, CPU Load: 33.33%, Memory Load: 3.282688GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:44, b69bdaee-ae13-4dcc-a679-495e285f960a, /api/v1/auth/signin, POST, null, 835ms, CPU Load: 42.86%, Memory Load: 3.285091GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:45, 0c00af47-7a4c-454f-81af-389957713b03, /api/v1/pets, GET, GOLD, 62ms, CPU Load: 70.00%, Memory Load: 3.286533GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:45, 78113d7a-94bc-4f60-9fec-329cfd96272f, /api/v1/visits, GET, GOLD, 70ms, CPU Load: 0.00%, Memory Load: 3.287014GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:46, 66713113-80ef-4408-aa11-c233e4658a5f, /api/v1/pets/types, GET, GOLD, 60ms, CPU Load: 100.00%, Memory Load: 3.287014GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:47, a49e2859-bfa4-40fd-9a99-4e7e98afcf56, /api/v1/pets, POST, GOLD, 206ms, CPU Load: 50.00%, Memory Load: 3.287735GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:47, 78052b03-9bff-448f-a7bf-039c1247a833, /api/v1/pets, GET, GOLD, 79ms, CPU Load: 64.71%, Memory Load: 3.287949GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:48, a2dc84dd-5b3a-44f2-ade5-6c7614688354, /api/v1/visits, GET, GOLD, 78ms, CPU Load: 73.68%, Memory Load: 3.287888GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:48, 8f35eca0-7753-43e7-8e13-41250780ce55, /api/v1/pets/151, DELETE, GOLD, 159ms, CPU Load: 47.37%, Memory Load: 3.288189GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-09-06 14:10:49, 7ccaf92f-bc09-4fc1-866d-e554a27e9da4, /api/v1/pets, GET, GOLD, 42ms, CPU Load: 57.14%, Memory Load: 3.288670GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
